Index,Workload,Dataset,DatasetSize,BuildTime_ms,Memory_MB,BytesPerKey,MeanLookup_ns,P95Lookup_ns,P99Lookup_ns,InsertThroughput_ops
HashTable,Mixed (50R/50W),Mixed,499325,17.2287,19.9049,41.8,104.751,201,271,19407500.0
ART,Mixed (50R/50W),Mixed,499325,24.2,9.52391,20.0001,338.801,672,932,3192460.0
PGM-Index,Mixed (50R/50W),Mixed,499325,16.6853,7.62098,16.004,210.943,431,681,325951.0
RMI,Mixed (50R/50W),Mixed,499325,70.4799,7.62064,16.0032,126.585,320,531,335592.0
HALI,Mixed (50R/50W),Mixed,499325,26.4572,7.62093,16.0039,592.332,1072,1353,909442.0
BTree,Read-Heavy (95R/5W),Sequential,499647,19.4582,9.14883,19.2,20.2189,20,30,9891120.0
HashTable,Read-Heavy (95R/5W),Sequential,499647,18.3355,19.9126,41.7891,140.106,321,501,11866000.0
ART,Read-Heavy (95R/5W),Sequential,499647,25.5475,9.53006,20.0001,195.193,351,511,9344460.0
PGM-Index,Read-Heavy (95R/5W),Sequential,499647,26.5156,7.6259,16.004,133.523,291,441,2832240.0
RMI,Read-Heavy (95R/5W),Sequential,499647,72.0105,7.62555,16.0032,127.271,260,351,2641530.0
HALI,Read-Heavy (95R/5W),Sequential,499647,29.4683,7.62589,16.004,519.506,1112,1442,905115.0
BTree,Write-Heavy (10R/90W),Sequential,499647,20.2336,9.14883,19.2,21.536,30,31,17474900.0
HashTable,Write-Heavy (10R/90W),Sequential,499647,16.5279,19.9126,41.7891,87.7134,200,271,21477100.0
ART,Write-Heavy (10R/90W),Sequential,499647,26.2675,9.53006,20.0001,386.025,692,982,14784200.0
PGM-Index,Write-Heavy (10R/90W),Sequential,499647,20.0193,7.6259,16.004,414.245,781,1563,185078.0
RMI,Write-Heavy (10R/90W),Sequential,499647,68.6888,7.62555,16.0032,330.087,691,1162,188667.0
HALI,Write-Heavy (10R/90W),Sequential,499647,28.3764,7.62589,16.004,704.308,1312,1794,925895.0
BTree,Mixed (50R/50W),Sequential,499647,19.9137,9.14883,19.2,21.5754,30,31,9150310.0
HashTable,Mixed (50R/50W),Sequential,499647,17.5672,19.9126,41.7891,98.8262,200,280,19989700.0
ART,Mixed (50R/50W),Sequential,499647,25.9076,9.53006,20.0001,210.363,381,551,12694900.0
PGM-Index,Mixed (50R/50W),Sequential,499647,16.9999,7.6259,16.004,261.315,461,712,300117.0
RMI,Mixed (50R/50W),Sequential,499647,67.8783,7.62555,16.0032,196.201,410,672,342177.0
HALI,Mixed (50R/50W),Sequential,499647,29.7147,7.62589,16.004,532.227,1173,1533,880524.0
BTree,Read-Heavy (95R/5W),Uniform,500000,21.4932,9.1553,19.2,22.1546,30,30,4095910.0
HashTable,Read-Heavy (95R/5W),Uniform,500000,16.2888,19.921,41.7773,114.529,231,331,8539260.0
ART,Read-Heavy (95R/5W),Uniform,500000,23.7864,9.53679,20.0001,252.924,601,972,2685650.0
PGM-Index,Read-Heavy (95R/5W),Uniform,500000,22.4211,7.6313,16.004,92.9479,180,290,10251400.0
RMI,Read-Heavy (95R/5W),Uniform,500000,70.4268,7.63094,16.0032,194.346,411,591,5032180.0
HALI,Read-Heavy (95R/5W),Uniform,500000,31.7155,7.63132,16.004,361.238,841,1012,2659860.0
BTree,Write-Heavy (10R/90W),Uniform,500000,19.9589,9.1553,19.2,20.9595,30,30,18114100.0
HashTable,Write-Heavy (10R/90W),Uniform,500000,17.7166,19.921,41.7773,97.298,190,260,21400100.0
ART,Write-Heavy (10R/90W),Uniform,500000,25.009,9.53679,20.0001,470.049,992,1503,12160400.0
PGM-Index,Write-Heavy (10R/90W),Uniform,500000,15.6931,7.6313,16.004,340.79,681,1112,173947.0
RMI,Write-Heavy (10R/90W),Uniform,500000,75.9518,7.63094,16.0032,490.272,862,1994,162417.0
HALI,Write-Heavy (10R/90W),Uniform,500000,28.3108,7.63132,16.004,560.096,1042,1273,1113780.0
BTree,Mixed (50R/50W),Uniform,500000,20.5268,9.1553,19.2,29.7061,40,211,4107590.0
HashTable,Mixed (50R/50W),Uniform,500000,17.752,19.921,41.7773,86.6114,170,251,11592500.0
ART,Mixed (50R/50W),Uniform,500000,24.2679,9.53679,20.0001,257.731,602,912,2525880.0
PGM-Index,Mixed (50R/50W),Uniform,500000,16.6267,7.6313,16.004,139.475,361,582,7407600.0
RMI,Mixed (50R/50W),Uniform,500000,66.7096,7.63094,16.0032,87.8236,170,271,11280100.0
HALI,Mixed (50R/50W),Uniform,500000,27.059,7.63132,16.004,353.957,802,1032,2725630.0
BTree,Read-Heavy (95R/5W),Zipfian,8193,0.335682,0.150041,19.2029,19.5675,20,21,11223600.0
HashTable,Read-Heavy (95R/5W),Zipfian,8193,0.249319,0.320374,41.0029,30.6919,40,70,28282900.0
ART,Read-Heavy (95R/5W),Zipfian,8193,0.40945,0.156315,20.0059,47.4714,60,71,11863200.0
